"","votereg","presvote20post","gender4","educ"
"974",1,1,2,5
"975",1,2,2,1
"976",1,1,2,2
"977",1,1,1,6
"978",1,2,1,2
"979",1,2,2,6
"980",1,1,2,5
"981",1,2,1,5
"982",1,1,1,6
"983",1,1,1,6
"984",1,3,1,5
"985",2,6,2,4
"986",1,1,2,2
"987",1,2,2,3
"988",1,2,1,3
"989",1,1,2,6
"990",1,2,2,3
"991",1,1,2,2
"992",1,1,1,5
"993",1,1,2,4
"994",3,1,4,3
"995",1,1,2,2
"996",1,1,2,6
"997",1,6,2,2
"998",1,2,1,3
"999",1,2,1,5
"1000",1,2,2,5
"1001",1,2,1,2
"1002",1,2,1,3
"1003",1,1,2,5
"1004",1,2,2,5
"1005",2,6,2,6
"1006",2,6,2,2
"1007",2,6,2,3
"1008",1,1,1,6
"1009",1,2,2,6
"1010",1,2,2,4
"1011",1,2,1,2
"1012",2,6,2,3
"1013",1,6,2,1
"1014",1,2,2,5
"1015",1,1,2,2
"1016",1,3,1,6
"1017",1,2,2,2
"1018",1,2,2,4
"1019",2,6,2,5
"1020",1,2,1,5
"1021",1,2,1,5
"1022",1,1,1,5
"1023",2,6,1,3
"1024",1,2,1,5
"1025",1,1,2,6
"1026",1,6,1,5
"1027",1,6,2,5
"1028",1,2,2,6
"1029",3,6,1,3
"1030",1,1,2,6
"1031",1,4,1,5
"1032",1,1,1,6
"1033",1,2,1,6
"1034",2,6,2,3
"1035",1,2,1,3
"1036",1,5,1,5
"1037",1,1,1,2
"1038",1,1,1,6
"1039",1,6,2,1
"1040",1,1,2,6
"1041",1,2,1,5
"1042",1,2,1,4
"1043",1,1,1,5
"1044",1,6,2,5
"1045",1,1,2,6
"1046",1,2,1,5
"1047",1,1,1,5
"1048",1,2,1,5
"1049",1,4,1,6
"1050",1,1,1,3
"1051",1,1,1,5
"1052",1,1,2,5
"1053",1,1,1,4
"1054",1,2,2,3
"1055",1,2,2,2
"1056",1,2,2,6
"1057",1,2,1,2
"1058",1,1,1,5
"1059",1,2,1,5
"1060",1,2,1,5
"1061",1,2,1,6
"1062",1,1,1,3
"1063",1,1,1,5
"1064",1,2,1,6
"1065",1,2,2,2
"1066",1,2,1,6
"1067",1,2,2,3
"1068",1,1,2,5
"1069",1,2,2,6
"1070",1,6,1,6
"1071",1,1,1,6
"1072",1,1,1,3
"1073",1,1,1,5
"1074",1,1,1,4
"1075",1,1,2,5
"1076",1,1,2,6
"1077",1,1,1,6
"1078",1,1,2,3
"1079",1,1,2,4
"1080",1,2,1,6
"1081",1,5,1,6
"1082",1,2,1,5
"1083",1,2,1,5
"1084",1,1,2,5
"1085",1,1,1,6
"1086",1,2,1,2
"1087",1,1,1,6
"1088",1,2,2,6
"1089",1,2,2,6
"1090",1,1,1,5
"1091",1,1,2,3
"1092",1,2,1,3
"1093",1,1,1,6
"1094",1,1,1,5
"1095",1,2,2,3
"1096",1,2,2,4
"1097",1,2,1,5
"1098",1,2,1,6
"1099",1,2,1,6
"1100",1,6,1,2
"1101",1,1,1,6
"1102",2,6,2,2
"1103",2,6,1,3
"1104",1,2,2,4
"1105",1,2,1,3
"1106",1,1,2,5
"1107",1,2,1,6
"1108",1,2,1,4
"1109",1,2,1,6
"1110",1,1,2,3
"1111",2,6,1,4
"1112",1,1,1,3
"1113",1,2,1,4
"1114",1,2,1,5
"1115",1,1,1,2
"1116",1,1,2,3
"1117",1,2,1,5
"1118",1,1,1,5
"1119",1,3,1,3
"1120",1,2,2,3
"1121",1,1,1,2
"1122",1,2,1,5
"1123",1,1,3,2
"1124",2,6,1,1
"1125",1,1,1,6
"1126",1,2,2,6
"1127",1,1,2,6
"1128",2,6,1,4
"1129",1,2,1,5
"1130",1,1,2,5
"1131",1,1,2,3
"1132",1,6,2,4
"1133",1,2,1,5
"1134",1,2,1,3
"1135",1,1,1,3
"1136",1,6,1,5
"1137",1,1,1,5
"1138",1,1,2,6
"1139",1,1,1,4
"1140",1,6,2,6
"1141",1,2,1,5
"1142",1,1,1,3
"1143",1,1,2,6
"1144",1,1,2,6
"1145",1,1,2,2
"1146",1,2,2,3
"1147",1,1,2,2
"1148",1,1,2,2
"1149",1,3,2,3
"1150",1,1,1,5
"1151",1,1,1,3
"1152",2,6,1,3
"1153",1,1,2,4
"1154",1,2,1,6
"1155",1,1,2,4
"1156",1,1,2,3
"1157",1,1,1,3
"1158",1,2,2,4
"1159",1,1,1,5
"1160",1,1,2,5
"1161",1,2,1,5
"1162",1,1,2,5
"1163",1,2,2,2
"1164",1,2,1,5
"1165",1,1,2,5
"1166",1,1,2,3
"1167",1,1,2,3
"1168",1,2,1,5
"1169",1,1,2,6
"1170",1,2,2,4
"1171",1,1,2,5
"1172",1,2,2,3
"1173",1,1,2,3
"1174",1,1,1,5
"1175",1,2,2,3
"1176",1,1,2,6
"1177",1,2,1,5
"1178",1,2,2,2
"1179",1,1,1,4
"1180",1,2,1,3
"1181",1,1,2,6
"1182",1,2,1,2
"1183",1,2,1,5
"1184",1,1,2,5
"1185",1,6,1,3
"1186",2,1,1,5
"1187",1,2,1,3
"1188",1,1,1,5
"1189",1,1,2,6
"1190",1,1,2,5
"1191",1,6,1,2
"1192",1,6,1,5
"1193",1,2,1,2
"1194",1,2,1,2
"1195",3,6,2,5
"1196",1,2,1,5
"1197",1,1,1,6
"1198",1,1,1,5
"1199",1,1,3,3
"1200",1,2,1,6
"1201",1,1,1,5
"1202",1,6,2,5
"1203",1,1,1,5
"1204",1,6,2,1
"1205",1,2,2,5
"1206",1,2,1,5
"1207",1,2,1,5
"1208",1,2,1,5
"1209",1,2,2,2
"1210",1,1,1,5
"1211",1,1,1,6
"1212",1,2,1,4
"1213",1,1,2,2
"1214",1,2,1,3
"1215",1,2,1,6
"1216",1,1,2,6
"1217",1,2,1,5
"1218",1,1,1,3
"1219",1,2,2,5
"1220",1,2,2,2
"1221",1,2,1,5
"1222",1,2,1,5
"1223",1,2,1,6
"1224",1,1,1,5
"1225",1,1,1,5
"1226",1,2,2,6
"1227",1,6,1,3
"1228",1,1,1,2
"1229",1,1,2,2
"1230",2,6,2,2
"1231",1,2,2,5
"1232",1,1,1,5
"1233",1,1,1,3
"1234",1,1,1,3
"1235",1,1,1,6
"1236",1,2,1,2
"1237",1,1,1,5
"1238",1,1,1,3
"1239",1,6,1,2
"1240",1,1,2,3
"1241",1,1,1,3
"1242",1,2,1,3
"1243",1,2,2,5
